Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,680","±4,997"
"    Management, business, science, and arts occupations",50.9%,±4.4
    Service occupations,19.4%,±3.3
    Sales and office occupations,21.5%,±3.6
"    Natural resources, construction, and maintenance occupations",2.0%,±0.8
"    Production, transportation, and material moving occupations",6.2%,±2.0
    Male civilian employed population 16 years and over,"19,987","±2,989"
"    Management, business, science, and arts occupations",47.1%,±6.5
    Service occupations,20.2%,±4.7
    Sales and office occupations,19.4%,±5.4
"    Natural resources, construction, and maintenance occupations",3.9%,±1.9
"    Production, transportation, and material moving occupations",9.4%,±3.7
    Female civilian employed population 16 years and over,"23,693","±2,860"
"    Management, business, science, and arts occupations",54.1%,±5.0
    Service occupations,18.8%,±4.0
    Sales and office occupations,23.2%,±4.7
"    Natural resources, construction, and maintenance occupations",0.4%,±0.4
"    Production, transportation, and material moving occupations",3.4%,±1.8
