Label,Estimate,Margin of Error
    Occupied housing units,"23,724","±2,363"
"    1-unit, detached or attached",45.4%,±5.2
    2 to 4 units,15.4%,±3.8
    5 or more units,39.3%,±5.5
"    Mobile home, boat, RV, van, etc.",0.0%,±0.6
