Label,Estimate,Margin of Error
    Occupied housing units,"23,724","±2,363"
    Built 2010 or later,0.0%,±0.6
    Built 2000 to 2009,12.0%,±3.1
    Built 1980 to 1999,14.0%,±2.9
    Built 1960 to 1979,28.2%,±4.9
    Built 1940 to 1959,22.0%,±4.4
    Built 1939 or earlier,23.8%,±4.6
