Label,Estimate,Margin of Error
    Workers 16 years and over,"43,054","±4,976"
"    Car, truck, or van - drove alone",62.8%,±4.0
"    Car, truck, or van - carpooled",17.1%,±3.4
    Public transportation (excluding taxicab),12.9%,±2.9
    Walked,4.9%,±2.3
    Other means,0.3%,±0.4
    Worked at home,1.9%,±1.0
    Mean travel time to work (minutes),29.3,±2.0
