Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"43,680","±4,997"
    Private wage and salary workers,87.6%,±2.6
    Government workers,9.2%,±2.3
    Self-employed workers in own not incorporated business,3.1%,±1.1
    Unpaid family workers,0.0%,±0.3
