Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"18,791","±2,587"
"    Nursery school, preschool",5.0%,±2.6
    Kindergarten,4.9%,±2.1
    Elementary school (grades 1-8),37.0%,±6.3
    High school (grades 9-12),16.5%,±3.8
    College or graduate school,36.7%,±6.5
    Male 3 years and over enrolled in school,"9,136","±1,658"
    Percent enrolled in kindergarten to grade 12,61.7%,±9.1
    Percent enrolled in college or graduate school,30.9%,±8.2
        Female 3 years and over enrolled in school,"9,655","±1,533"
    Percent enrolled in kindergarten to grade 12,55.2%,±7.7
    Percent enrolled in college or graduate school,42.2%,±7.7
