Label,Estimate,Margin of Error
    Occupied housing units,"26,959","±2,114"
"        1-unit, detached or attached",42.4%,±4.2
        2 to 4 units,18.2%,±3.3
        5 or more units,39.3%,±4.8
"        Mobile home, boat, RV, van, etc.",0.1%,±0.2
