Label,Estimate,Margin of Error
    Women 15 to 50 years,"23,436","±2,865"
        Women 15 to 50 years who had a birth in the past 12 months,961,±493
            Unmarried women 15 to 50 years who had a birth in the past 12 months,N,N
                As a percent of all women with a birth in the past 12 months,N,N
