Label,Estimate,Margin of Error
    Workers 16 years and over,"43,676","±4,058"
"        Car, truck, or van - drove alone",60.2%,±4.7
"        Car, truck, or van - carpooled",10.8%,±2.5
        Public transportation (excluding taxicab),19.4%,±4.4
        Walked,6.1%,±2.2
        Other means,2.2%,±1.1
        Worked at home,1.3%,±0.8
        Mean travel time to work (minutes),32.3,±2.4
