Label,Estimate,Margin of Error
    Occupied housing units,"26,959","±2,114"
        Built 2010 or later,0.3%,±0.4
        Built 2000 to 2009,12.1%,±3.2
        Built 1980 to 1999,18.2%,±4.0
        Built 1960 to 1979,25.3%,±3.7
        Built 1940 to 1959,20.2%,±3.5
        Built 1939 or earlier,23.9%,±4.2
