Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,666","±4,049"
"        Management, business, science, and arts occupations",51.6%,±4.3
        Service occupations,17.4%,±3.2
        Sales and office occupations,20.9%,±3.1
"        Natural resources, construction, and maintenance occupations",2.1%,±1.1
"        Production, transportation, and material moving occupations",8.0%,±2.1
    Male civilian employed population 16 years and over,"17,867","±1,785"
"        Management, business, science, and arts occupations",42.9%,±6.2
        Service occupations,15.9%,±4.4
        Sales and office occupations,23.8%,±4.8
"        Natural resources, construction, and maintenance occupations",3.9%,±1.9
"        Production, transportation, and material moving occupations",13.5%,±4.2
    Female civilian employed population 16 years and over,"26,799","±2,867"
"        Management, business, science, and arts occupations",57.5%,±4.9
        Service occupations,18.3%,±3.8
        Sales and office occupations,18.9%,±3.5
"        Natural resources, construction, and maintenance occupations",0.9%,±1.2
"        Production, transportation, and material moving occupations",4.3%,±1.9
