Label,Estimate,Margin of Error
    Occupied housing units,"26,959","±2,114"
        Gas,83.0%,±3.9
        Electricity,16.8%,±3.9
        All other fuels,0.2%,±0.4
        No fuel used,0.0%,±0.5
