Label,Estimate,Margin of Error
    Population 16 years and over,"67,453","±5,693"
        In labor force,72.4%,±2.6
            Civilian labor force,72.4%,±2.6
                Employed,66.2%,±3.0
                Unemployed,6.2%,±2.0
                    Percent of civilian labor force,8.6%,±2.7
            Armed Forces,0.0%,±0.2
        Not in labor force,27.6%,±2.6
    Females 16 years and over,"38,955","±3,743"
        In labor force,73.4%,±3.3
            Civilian labor force,73.4%,±3.3
                Employed,68.8%,±3.5
                Unemployed,4.6%,±1.9
                    Percent of civilian labor force,6.3%,±2.5
