Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,666","±4,049"
"        Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.3
        Construction,0.8%,±0.8
        Manufacturing,7.8%,±2.1
        Wholesale trade,2.1%,±0.9
        Retail trade,7.1%,±1.7
"        Transportation and warehousing, and utilities",5.0%,±1.8
        Information,2.0%,±1.0
"        Finance and insurance, and real estate and rental and leasing",7.9%,±2.3
"        Professional, scientific, and management, and administrative and waste management services",11.0%,±2.7
"        Educational services, and health care and social assistance",44.5%,±5.0
"        Arts, entertainment, and recreation, and accommodation and food services",7.0%,±3.0
        Other services (except public administration),3.6%,±1.3
        Public administration,1.1%,±0.8
