Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"44,666","±4,049"
        Private wage and salary workers,90.8%,±2.1
        Government workers,6.5%,±1.9
        Self-employed workers in own not incorporated business,2.6%,±1.0
        Unpaid family workers,0.1%,±0.2
