Label,Estimate,Margin of Error
    Owner-occupied housing units,"15,049","±1,610"
        Median value (dollars),"230,800","±14,939"
        Median selected monthly owner costs with a mortgage (dollars),"2,112",±149
        Median selected monthly owner costs without a mortgage (dollars),665,±48
