Label,Estimate,Margin of Error
    Owner-occupied housing units,"16,419","±2,007"
    Median value (dollars),"263,800","±20,189"
    Median selected monthly owner costs with a mortgage (dollars),"2,189",±137
    Median selected monthly owner costs without a mortgage (dollars),645,±119
