Label,Estimate,Margin of Error
    Occupied housing units,"24,310","±2,322"
    Gas,85.3%,±3.8
    Electricity,14.1%,±3.8
    All other fuels,0.5%,±0.6
    No fuel used,0.0%,±0.7
