Label,Estimate,Margin of Error
    Occupied housing units,"24,310","±2,322"
"    1-unit, detached or attached",45.1%,±5.5
    2 to 4 units,13.4%,±4.5
    5 or more units,41.3%,±5.4
"    Mobile home, boat, RV, van, etc.",0.2%,±0.3
