Label,Estimate,Margin of Error
    Population 1 year and over,"71,564","±6,688"
    Same house,89.1%,±3.9
    Different house in the U.S.,9.5%,±3.7
        Same county,7.9%,±3.5
        Different county,1.6%,±0.9
            Same state,0.4%,±0.3
            Different state,1.1%,±0.8
    Abroad,1.4%,±1.2
