Label,Estimate,Margin of Error
    Workers 16 years and over,"41,268","±4,146"
"    Car, truck, or van - drove alone",63.3%,±4.1
"    Car, truck, or van - carpooled",10.4%,±2.7
    Public transportation (excluding taxicab),18.0%,±2.8
    Walked,3.4%,±2.0
    Other means,1.6%,±2.0
    Worked at home,3.3%,±2.0
    Mean travel time to work (minutes),32.3,±2.0
