Label,Estimate,Margin of Error
    Population 3 years and over enrolled in school,"17,410","±2,958"
"    Nursery school, preschool",6.3%,±2.8
    Kindergarten,5.2%,±2.8
    Elementary school (grades 1-8),31.4%,±7.9
    High school (grades 9-12),14.1%,±4.5
    College or graduate school,42.9%,±8.1
    Male 3 years and over enrolled in school,"9,224","±2,059"
    Percent enrolled in kindergarten to grade 12,52.6%,±11.3
    Percent enrolled in college or graduate school,39.8%,±10.9
        Female 3 years and over enrolled in school,"8,186","±2,004"
    Percent enrolled in kindergarten to grade 12,48.8%,±12.6
    Percent enrolled in college or graduate school,46.5%,±12.4
