Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"41,876","±4,215"
"    Agriculture, forestry, fishing and hunting, and mining",0.0%,±0.4
    Construction,0.8%,±0.6
    Manufacturing,9.5%,±2.9
    Wholesale trade,1.3%,±1.0
    Retail trade,7.0%,±2.1
"    Transportation and warehousing, and utilities",6.9%,±2.5
    Information,2.5%,±1.3
"    Finance and insurance, and real estate and rental and leasing",9.2%,±2.2
"    Professional, scientific, and management, and administrative and waste management services",9.7%,±2.9
"    Educational services, and health care and social assistance",42.3%,±3.2
"    Arts, entertainment, and recreation, and accommodation and food services",4.3%,±1.8
    Other services (except public administration),4.7%,±2.2
    Public administration,1.7%,±1.1
