Label,Estimate,Margin of Error
    Occupied housing units,"24,310","±2,322"
    Built 2000 or later,13.3%,±3.5
    Built 1990 to 1999,6.3%,±2.8
    Built 1980 to 1989,7.5%,±3.0
    Built 1960 to 1979,29.3%,±4.5
    Built 1940 to 1959,20.1%,±3.9
    Built 1939 or earlier,23.5%,±4.0
