Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"41,876","±4,215"
"    Management, business, science, and arts occupations",55.6%,±4.3
    Service occupations,16.1%,±3.9
    Sales and office occupations,20.0%,±3.8
"    Natural resources, construction, and maintenance occupations",2.1%,±1.0
"    Production, transportation, and material moving occupations",6.2%,±1.8
    Male civilian employed population 16 years and over,"18,751","±2,403"
"    Management, business, science, and arts occupations",45.6%,±6.5
    Service occupations,18.0%,±5.6
    Sales and office occupations,21.4%,±5.5
"    Natural resources, construction, and maintenance occupations",4.7%,±2.3
"    Production, transportation, and material moving occupations",10.4%,±3.5
    Female civilian employed population 16 years and over,"23,125","±2,595"
"    Management, business, science, and arts occupations",63.7%,±6.5
    Service occupations,14.6%,±5.2
    Sales and office occupations,18.8%,±4.7
"    Natural resources, construction, and maintenance occupations",0.0%,±0.7
"    Production, transportation, and material moving occupations",2.9%,±1.8
