Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,255","±4,922"
"        Management, business, science, and arts occupations",63.6%,±4.8
        Service occupations,14.6%,±3.0
        Sales and office occupations,15.5%,±3.5
"        Natural resources, construction, and maintenance occupations",2.6%,±1.2
"        Production, transportation, and material moving occupations",3.8%,±1.5
    Male civilian employed population 16 years and over,"21,615","±2,609"
"        Management, business, science, and arts occupations",60.2%,±7.1
        Service occupations,14.8%,±4.6
        Sales and office occupations,14.1%,±4.9
"        Natural resources, construction, and maintenance occupations",5.6%,±2.6
"        Production, transportation, and material moving occupations",5.3%,±2.6
    Female civilian employed population 16 years and over,"28,640","±3,407"
"        Management, business, science, and arts occupations",66.2%,±5.6
        Service occupations,14.4%,±3.6
        Sales and office occupations,16.5%,±4.5
"        Natural resources, construction, and maintenance occupations",0.3%,±0.6
"        Production, transportation, and material moving occupations",2.6%,±1.8
