Label,Estimate,Margin of Error
    Occupied housing units,"32,190","±2,880"
"        1-unit, detached or attached",53.1%,±4.9
        2 to 4 units,16.8%,±3.5
        5 or more units,29.9%,±4.1
"        Mobile home, boat, RV, van, etc.",0.2%,±0.4
