Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"50,255","±4,922"
        Private wage and salary workers,86.8%,±2.4
        Government workers,7.3%,±1.7
        Self-employed workers in own not incorporated business,4.3%,±1.7
        Unpaid family workers,1.5%,±1.3
