Label,Estimate,Margin of Error
    Population 30 years and over,"60,275","±5,321"
        Grandparents living with grandchild(ren),4.2%,±1.4
            Grandparents responsible for grandchildren as a percentage of living with grandchildren,13.8%,±12.8
