Label,Estimate,Margin of Error
    Owner-occupied housing units,"20,580","±2,248"
        Median value (dollars),"353,100","±16,410"
        Median selected monthly owner costs with a mortgage (dollars),"2,269",±135
        Median selected monthly owner costs without a mortgage (dollars),876,±91
