Label,Estimate,Margin of Error
    Workers 16 years and over,"49,457","±4,879"
"        Car, truck, or van - drove alone",56.1%,±4.8
"        Car, truck, or van - carpooled",13.0%,±2.8
        Public transportation (excluding taxicab),9.3%,±2.9
        Walked,3.2%,±1.5
        Other means,3.4%,±1.9
        Worked from home,15.0%,±2.9
        Mean travel time to work (minutes),30.6,±2.1
