Label,Estimate,Margin of Error
    Occupied housing units,"32,190","±2,880"
        Gas,85.2%,±4.0
        Electricity,14.2%,±4.0
        All other fuels,0.1%,±0.1
        No fuel used,0.5%,±0.5
