Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"47,687","±4,726"
"        Management, business, science, and arts occupations",53.8%,±4.0
        Service occupations,15.3%,±2.8
        Sales and office occupations,18.6%,±3.2
"        Natural resources, construction, and maintenance occupations",2.9%,±1.3
"        Production, transportation, and material moving occupations",9.4%,±2.5
    Male civilian employed population 16 years and over,"22,364","±2,931"
"        Management, business, science, and arts occupations",50.5%,±5.9
        Service occupations,14.5%,±4.0
        Sales and office occupations,13.0%,±3.9
"        Natural resources, construction, and maintenance occupations",5.9%,±2.7
"        Production, transportation, and material moving occupations",16.2%,±4.2
    Female civilian employed population 16 years and over,"25,323","±2,713"
"        Management, business, science, and arts occupations",56.7%,±5.2
        Service occupations,16.0%,±3.6
        Sales and office occupations,23.6%,±4.2
"        Natural resources, construction, and maintenance occupations",0.2%,±0.3
"        Production, transportation, and material moving occupations",3.5%,±2.3
