Label,Estimate,Margin of Error
    Occupied housing units,"29,191","±2,483"
        Gas,78.0%,±4.8
        Electricity,20.6%,±4.7
        All other fuels,1.5%,±1.1
        No fuel used,0.0%,±0.6
