Label,Estimate,Margin of Error
    Owner-occupied housing units,"19,047","±2,155"
        Median value (dollars),"302,000","±24,382"
        Median selected monthly owner costs with a mortgage (dollars),"2,018",±140
        Median selected monthly owner costs without a mortgage (dollars),755,±56
