Label,Estimate,Margin of Error
    Occupied housing units,"29,191","±2,483"
"        1-unit, detached or attached",50.0%,±5.3
        2 to 4 units,13.5%,±3.2
        5 or more units,36.0%,±5.0
"        Mobile home, boat, RV, van, etc.",0.5%,±0.8
