Label,Estimate,Margin of Error
    Workers 16 years and over,"47,441","±4,686"
"        Car, truck, or van - drove alone",55.9%,±5.1
"        Car, truck, or van - carpooled",11.6%,±2.8
        Public transportation (excluding taxicab),6.9%,±2.3
        Walked,4.6%,±2.3
        Other means,2.4%,±1.0
        Worked from home,18.6%,±3.5
        Mean travel time to work (minutes),30.1,±2.1
