Label,Estimate,Margin of Error
    Civilian employed population 16 years and over,"47,687","±4,726"
        Private wage and salary workers,89.3%,±2.3
        Government workers,7.1%,±1.8
        Self-employed workers in own not incorporated business,3.7%,±1.2
        Unpaid family workers,0.0%,±0.3
